Driver,LapNumber,LapTimeSeconds,TyreLife,Team,Compound_HARD,Compound_MEDIUM,Compound_SOFT
VER,1.0,99.019,4.0,Red Bull Racing,False,False,True
VER,2.0,97.974,5.0,Red Bull Racing,False,False,True
VER,3.0,98.006,6.0,Red Bull Racing,False,False,True
VER,4.0,97.976,7.0,Red Bull Racing,False,False,True
VER,5.0,98.035,8.0,Red Bull Racing,False,False,True
VER,6.0,97.986,9.0,Red Bull Racing,False,False,True
VER,7.0,98.021,10.0,Red Bull Racing,False,False,True
VER,8.0,98.154,11.0,Red Bull Racing,False,False,True
VER,9.0,98.278,12.0,Red Bull Racing,False,False,True
VER,10.0,98.369,13.0,Red Bull Racing,False,False,True
VER,11.0,98.483,14.0,Red Bull Racing,False,False,True
VER,12.0,98.591,15.0,Red Bull Racing,False,False,True
VER,13.0,98.482,16.0,Red Bull Racing,False,False,True
VER,16.0,97.801,2.0,Red Bull Racing,False,False,True
VER,17.0,97.648,3.0,Red Bull Racing,False,False,True
VER,18.0,97.614,4.0,Red Bull Racing,False,False,True
VER,19.0,97.712,5.0,Red Bull Racing,False,False,True
VER,20.0,97.788,6.0,Red Bull Racing,False,False,True
VER,21.0,97.582,7.0,Red Bull Racing,False,False,True
VER,22.0,97.651,8.0,Red Bull Racing,False,False,True
VER,23.0,97.552,9.0,Red Bull Racing,False,False,True
VER,24.0,97.387,10.0,Red Bull Racing,False,False,True
VER,25.0,97.372,11.0,Red Bull Racing,False,False,True
VER,26.0,97.682,12.0,Red Bull Racing,False,False,True
VER,27.0,97.379,13.0,Red Bull Racing,False,False,True
VER,28.0,97.651,14.0,Red Bull Racing,False,False,True
VER,29.0,97.571,15.0,Red Bull Racing,False,False,True
VER,30.0,97.549,16.0,Red Bull Racing,False,False,True
VER,31.0,97.431,17.0,Red Bull Racing,False,False,True
VER,32.0,97.691,18.0,Red Bull Racing,False,False,True
VER,33.0,97.686,19.0,Red Bull Racing,False,False,True
VER,34.0,97.839,20.0,Red Bull Racing,False,False,True
VER,35.0,97.85,21.0,Red Bull Racing,False,False,True
VER,38.0,96.297,2.0,Red Bull Racing,True,False,False
VER,39.0,96.446,3.0,Red Bull Racing,True,False,False
VER,40.0,96.942,4.0,Red Bull Racing,True,False,False
VER,43.0,96.89,7.0,Red Bull Racing,True,False,False
VER,44.0,96.236,8.0,Red Bull Racing,True,False,False
VER,45.0,97.015,9.0,Red Bull Racing,True,False,False
VER,46.0,96.701,10.0,Red Bull Racing,True,False,False
VER,47.0,97.009,11.0,Red Bull Racing,True,False,False
VER,48.0,96.918,12.0,Red Bull Racing,True,False,False
VER,49.0,96.962,13.0,Red Bull Racing,True,False,False
VER,50.0,97.25,14.0,Red Bull Racing,True,False,False
VER,51.0,97.427,15.0,Red Bull Racing,True,False,False
VER,52.0,96.919,16.0,Red Bull Racing,True,False,False
VER,53.0,96.89,17.0,Red Bull Racing,True,False,False
VER,54.0,96.678,18.0,Red Bull Racing,True,False,False
VER,55.0,96.322,19.0,Red Bull Racing,True,False,False
VER,56.0,97.205,20.0,Red Bull Racing,True,False,False
VER,57.0,96.373,21.0,Red Bull Racing,True,False,False
GAS,2.0,100.438,2.0,Alpine,False,False,True
GAS,11.0,98.762,2.0,Alpine,True,False,False
GAS,12.0,98.928,3.0,Alpine,True,False,False
GAS,13.0,99.349,4.0,Alpine,True,False,False
GAS,14.0,98.859,5.0,Alpine,True,False,False
GAS,15.0,98.985,6.0,Alpine,True,False,False
GAS,16.0,98.945,7.0,Alpine,True,False,False
GAS,17.0,99.011,8.0,Alpine,True,False,False
GAS,18.0,99.029,9.0,Alpine,True,False,False
GAS,19.0,99.066,10.0,Alpine,True,False,False
GAS,20.0,99.017,11.0,Alpine,True,False,False
GAS,21.0,99.327,12.0,Alpine,True,False,False
GAS,22.0,99.485,13.0,Alpine,True,False,False
GAS,23.0,99.263,14.0,Alpine,True,False,False
GAS,24.0,99.761,15.0,Alpine,True,False,False
GAS,27.0,98.729,2.0,Alpine,True,False,False
GAS,28.0,97.761,3.0,Alpine,True,False,False
GAS,29.0,98.012,4.0,Alpine,True,False,False
GAS,30.0,97.76,5.0,Alpine,True,False,False
GAS,31.0,97.968,6.0,Alpine,True,False,False
GAS,32.0,98.012,7.0,Alpine,True,False,False
GAS,33.0,97.974,8.0,Alpine,True,False,False
GAS,34.0,98.022,9.0,Alpine,True,False,False
GAS,35.0,98.088,10.0,Alpine,True,False,False
GAS,36.0,98.184,11.0,Alpine,True,False,False
GAS,37.0,98.133,12.0,Alpine,True,False,False
GAS,38.0,98.108,13.0,Alpine,True,False,False
GAS,39.0,98.537,14.0,Alpine,True,False,False
GAS,42.0,95.068,2.0,Alpine,False,False,True
GAS,43.0,95.942,3.0,Alpine,False,False,True
GAS,44.0,95.792,4.0,Alpine,False,False,True
GAS,45.0,96.186,5.0,Alpine,False,False,True
GAS,46.0,96.041,6.0,Alpine,False,False,True
GAS,47.0,96.12,7.0,Alpine,False,False,True
GAS,48.0,96.368,8.0,Alpine,False,False,True
GAS,49.0,96.803,9.0,Alpine,False,False,True
GAS,50.0,96.551,10.0,Alpine,False,False,True
GAS,51.0,96.635,11.0,Alpine,False,False,True
GAS,52.0,96.891,12.0,Alpine,False,False,True
GAS,53.0,96.979,13.0,Alpine,False,False,True
GAS,54.0,97.222,14.0,Alpine,False,False,True
GAS,55.0,97.559,15.0,Alpine,False,False,True
GAS,56.0,97.845,16.0,Alpine,False,False,True
GAS,57.0,98.147,17.0,Alpine,False,False,True
PER,2.0,98.862,5.0,Red Bull Racing,False,False,True
PER,3.0,98.83,6.0,Red Bull Racing,False,False,True
PER,4.0,98.758,7.0,Red Bull Racing,False,False,True
PER,5.0,98.404,8.0,Red Bull Racing,False,False,True
PER,6.0,98.718,9.0,Red Bull Racing,False,False,True
PER,7.0,98.804,10.0,Red Bull Racing,False,False,True
PER,8.0,99.172,11.0,Red Bull Racing,False,False,True
PER,9.0,98.914,12.0,Red Bull Racing,False,False,True
PER,10.0,99.085,13.0,Red Bull Racing,False,False,True
PER,11.0,99.249,14.0,Red Bull Racing,False,False,True
PER,12.0,99.197,15.0,Red Bull Racing,False,False,True
PER,13.0,99.336,16.0,Red Bull Racing,False,False,True
PER,14.0,98.739,17.0,Red Bull Racing,False,False,True
PER,15.0,98.608,18.0,Red Bull Racing,False,False,True
PER,16.0,98.77,19.0,Red Bull Racing,False,False,True
PER,19.0,97.659,4.0,Red Bull Racing,False,False,True
PER,20.0,97.448,5.0,Red Bull Racing,False,False,True
PER,21.0,97.24,6.0,Red Bull Racing,False,False,True
PER,22.0,97.169,7.0,Red Bull Racing,False,False,True
PER,23.0,97.304,8.0,Red Bull Racing,False,False,True
PER,24.0,97.352,9.0,Red Bull Racing,False,False,True
PER,25.0,98.418,10.0,Red Bull Racing,False,False,True
PER,26.0,97.454,11.0,Red Bull Racing,False,False,True
PER,27.0,97.387,12.0,Red Bull Racing,False,False,True
PER,28.0,97.211,13.0,Red Bull Racing,False,False,True
PER,29.0,97.733,14.0,Red Bull Racing,False,False,True
PER,30.0,97.4,15.0,Red Bull Racing,False,False,True
PER,31.0,97.919,16.0,Red Bull Racing,False,False,True
PER,32.0,97.722,17.0,Red Bull Racing,False,False,True
PER,33.0,97.869,18.0,Red Bull Racing,False,False,True
PER,36.0,96.82,2.0,Red Bull Racing,True,False,False
PER,37.0,96.344,3.0,Red Bull Racing,True,False,False
PER,38.0,96.431,4.0,Red Bull Racing,True,False,False
PER,39.0,96.429,5.0,Red Bull Racing,True,False,False
PER,40.0,97.114,6.0,Red Bull Racing,True,False,False
PER,42.0,99.657,8.0,Red Bull Racing,True,False,False
PER,43.0,96.554,9.0,Red Bull Racing,True,False,False
PER,44.0,96.978,10.0,Red Bull Racing,True,False,False
PER,45.0,96.928,11.0,Red Bull Racing,True,False,False
PER,46.0,97.257,12.0,Red Bull Racing,True,False,False
PER,47.0,96.661,13.0,Red Bull Racing,True,False,False
PER,48.0,96.859,14.0,Red Bull Racing,True,False,False
PER,49.0,97.049,15.0,Red Bull Racing,True,False,False
PER,50.0,97.731,16.0,Red Bull Racing,True,False,False
PER,51.0,97.049,17.0,Red Bull Racing,True,False,False
PER,52.0,97.062,18.0,Red Bull Racing,True,False,False
PER,53.0,97.345,19.0,Red Bull Racing,True,False,False
PER,54.0,97.296,20.0,Red Bull Racing,True,False,False
PER,55.0,97.092,21.0,Red Bull Racing,True,False,False
PER,56.0,96.565,22.0,Red Bull Racing,True,False,False
PER,57.0,96.558,23.0,Red Bull Racing,True,False,False
ALO,2.0,99.792,5.0,Aston Martin,False,False,True
ALO,3.0,99.1,6.0,Aston Martin,False,False,True
ALO,4.0,99.548,7.0,Aston Martin,False,False,True
ALO,5.0,99.662,8.0,Aston Martin,False,False,True
ALO,6.0,99.674,9.0,Aston Martin,False,False,True
ALO,7.0,99.729,10.0,Aston Martin,False,False,True
ALO,8.0,99.959,11.0,Aston Martin,False,False,True
ALO,9.0,100.275,12.0,Aston Martin,False,False,True
ALO,10.0,100.203,13.0,Aston Martin,False,False,True
ALO,13.0,100.341,16.0,Aston Martin,False,False,True
ALO,16.0,97.542,2.0,Aston Martin,True,False,False
ALO,17.0,98.139,3.0,Aston Martin,True,False,False
ALO,18.0,98.124,4.0,Aston Martin,True,False,False
ALO,19.0,98.361,5.0,Aston Martin,True,False,False
ALO,20.0,98.318,6.0,Aston Martin,True,False,False
ALO,21.0,98.407,7.0,Aston Martin,True,False,False
ALO,22.0,98.2,8.0,Aston Martin,True,False,False
ALO,23.0,97.853,9.0,Aston Martin,True,False,False
ALO,24.0,97.878,10.0,Aston Martin,True,False,False
ALO,25.0,98.139,11.0,Aston Martin,True,False,False
ALO,26.0,98.127,12.0,Aston Martin,True,False,False
ALO,27.0,98.612,13.0,Aston Martin,True,False,False
ALO,28.0,98.199,14.0,Aston Martin,True,False,False
ALO,29.0,98.585,15.0,Aston Martin,True,False,False
ALO,30.0,98.282,16.0,Aston Martin,True,False,False
ALO,31.0,98.009,17.0,Aston Martin,True,False,False
ALO,32.0,97.871,18.0,Aston Martin,True,False,False
ALO,33.0,97.769,19.0,Aston Martin,True,False,False
ALO,34.0,100.353,20.0,Aston Martin,True,False,False
ALO,36.0,96.156,2.0,Aston Martin,True,False,False
ALO,37.0,97.431,3.0,Aston Martin,True,False,False
ALO,38.0,97.002,4.0,Aston Martin,True,False,False
ALO,39.0,97.243,5.0,Aston Martin,True,False,False
ALO,40.0,97.208,6.0,Aston Martin,True,False,False
ALO,42.0,96.334,8.0,Aston Martin,True,False,False
ALO,43.0,96.911,9.0,Aston Martin,True,False,False
ALO,44.0,97.022,10.0,Aston Martin,True,False,False
ALO,45.0,97.931,11.0,Aston Martin,True,False,False
ALO,46.0,97.087,12.0,Aston Martin,True,False,False
ALO,47.0,97.326,13.0,Aston Martin,True,False,False
ALO,48.0,96.783,14.0,Aston Martin,True,False,False
ALO,49.0,96.726,15.0,Aston Martin,True,False,False
ALO,50.0,96.331,16.0,Aston Martin,True,False,False
ALO,51.0,96.96,17.0,Aston Martin,True,False,False
ALO,52.0,97.01,18.0,Aston Martin,True,False,False
ALO,53.0,97.01,19.0,Aston Martin,True,False,False
ALO,54.0,97.599,20.0,Aston Martin,True,False,False
ALO,55.0,97.662,21.0,Aston Martin,True,False,False
ALO,56.0,97.473,22.0,Aston Martin,True,False,False
ALO,57.0,97.422,23.0,Aston Martin,True,False,False
LEC,1.0,100.23,1.0,Ferrari,False,False,True
LEC,2.0,98.75,2.0,Ferrari,False,False,True
LEC,3.0,98.658,3.0,Ferrari,False,False,True
LEC,4.0,98.825,4.0,Ferrari,False,False,True
LEC,5.0,98.664,5.0,Ferrari,False,False,True
LEC,6.0,98.572,6.0,Ferrari,False,False,True
LEC,7.0,98.691,7.0,Ferrari,False,False,True
LEC,8.0,98.614,8.0,Ferrari,False,False,True
LEC,9.0,98.828,9.0,Ferrari,False,False,True
LEC,10.0,99.073,10.0,Ferrari,False,False,True
LEC,11.0,99.212,11.0,Ferrari,False,False,True
LEC,12.0,99.489,12.0,Ferrari,False,False,True
LEC,15.0,98.477,2.0,Ferrari,True,False,False
LEC,16.0,97.953,3.0,Ferrari,True,False,False
LEC,17.0,98.031,4.0,Ferrari,True,False,False
LEC,18.0,97.798,5.0,Ferrari,True,False,False
LEC,19.0,97.858,6.0,Ferrari,True,False,False
LEC,20.0,97.631,7.0,Ferrari,True,False,False
LEC,21.0,97.753,8.0,Ferrari,True,False,False
LEC,22.0,98.162,9.0,Ferrari,True,False,False
LEC,23.0,98.054,10.0,Ferrari,True,False,False
LEC,24.0,97.972,11.0,Ferrari,True,False,False
LEC,25.0,98.541,12.0,Ferrari,True,False,False
LEC,26.0,99.668,13.0,Ferrari,True,False,False
LEC,27.0,98.814,14.0,Ferrari,True,False,False
LEC,28.0,98.618,15.0,Ferrari,True,False,False
LEC,29.0,98.447,16.0,Ferrari,True,False,False
LEC,30.0,98.39,17.0,Ferrari,True,False,False
LEC,31.0,98.746,18.0,Ferrari,True,False,False
LEC,32.0,98.948,19.0,Ferrari,True,False,False
LEC,35.0,98.073,2.0,Ferrari,True,False,False
LEC,36.0,97.313,3.0,Ferrari,True,False,False
LEC,37.0,97.17,4.0,Ferrari,True,False,False
LEC,38.0,97.17,5.0,Ferrari,True,False,False
LEC,39.0,97.287,6.0,Ferrari,True,False,False
STR,2.0,99.892,5.0,Aston Martin,False,False,True
STR,3.0,99.625,6.0,Aston Martin,False,False,True
STR,4.0,99.745,7.0,Aston Martin,False,False,True
STR,5.0,99.144,8.0,Aston Martin,False,False,True
STR,6.0,99.714,9.0,Aston Martin,False,False,True
STR,7.0,99.945,10.0,Aston Martin,False,False,True
STR,8.0,99.801,11.0,Aston Martin,False,False,True
STR,9.0,100.106,12.0,Aston Martin,False,False,True
STR,10.0,100.192,13.0,Aston Martin,False,False,True
STR,14.0,100.002,17.0,Aston Martin,False,False,True
STR,17.0,97.507,2.0,Aston Martin,True,False,False
STR,18.0,98.127,3.0,Aston Martin,True,False,False
STR,19.0,98.587,4.0,Aston Martin,True,False,False
STR,20.0,98.038,5.0,Aston Martin,True,False,False
STR,21.0,98.273,6.0,Aston Martin,True,False,False
STR,22.0,98.73,7.0,Aston Martin,True,False,False
STR,23.0,98.295,8.0,Aston Martin,True,False,False
STR,24.0,98.478,9.0,Aston Martin,True,False,False
STR,25.0,98.25,10.0,Aston Martin,True,False,False
STR,26.0,98.482,11.0,Aston Martin,True,False,False
STR,27.0,99.021,12.0,Aston Martin,True,False,False
STR,28.0,98.723,13.0,Aston Martin,True,False,False
STR,29.0,98.71,14.0,Aston Martin,True,False,False
STR,32.0,96.546,2.0,Aston Martin,True,False,False
STR,33.0,97.21,3.0,Aston Martin,True,False,False
STR,34.0,97.168,4.0,Aston Martin,True,False,False
STR,35.0,97.521,5.0,Aston Martin,True,False,False
STR,36.0,97.72,6.0,Aston Martin,True,False,False
STR,37.0,97.68,7.0,Aston Martin,True,False,False
STR,38.0,97.274,8.0,Aston Martin,True,False,False
STR,39.0,97.456,9.0,Aston Martin,True,False,False
STR,40.0,97.916,10.0,Aston Martin,True,False,False
STR,42.0,97.298,12.0,Aston Martin,True,False,False
STR,43.0,97.304,13.0,Aston Martin,True,False,False
STR,44.0,97.299,14.0,Aston Martin,True,False,False
STR,45.0,97.222,15.0,Aston Martin,True,False,False
STR,46.0,97.562,16.0,Aston Martin,True,False,False
STR,47.0,97.257,17.0,Aston Martin,True,False,False
STR,48.0,97.448,18.0,Aston Martin,True,False,False
STR,49.0,97.551,19.0,Aston Martin,True,False,False
STR,50.0,97.388,20.0,Aston Martin,True,False,False
STR,51.0,97.866,21.0,Aston Martin,True,False,False
STR,52.0,97.579,22.0,Aston Martin,True,False,False
STR,53.0,98.379,23.0,Aston Martin,True,False,False
STR,54.0,97.597,24.0,Aston Martin,True,False,False
STR,55.0,97.701,25.0,Aston Martin,True,False,False
STR,56.0,98.11,26.0,Aston Martin,True,False,False
STR,57.0,97.991,27.0,Aston Martin,True,False,False
SAR,2.0,100.467,2.0,Williams,False,False,True
SAR,3.0,100.349,3.0,Williams,False,False,True
SAR,14.0,98.413,2.0,Williams,False,False,True
SAR,15.0,99.033,3.0,Williams,False,False,True
SAR,16.0,98.988,4.0,Williams,False,False,True
SAR,17.0,99.439,5.0,Williams,False,False,True
SAR,18.0,99.399,6.0,Williams,False,False,True
SAR,19.0,99.22,7.0,Williams,False,False,True
SAR,20.0,99.186,8.0,Williams,False,False,True
SAR,21.0,99.612,9.0,Williams,False,False,True
SAR,22.0,99.362,10.0,Williams,False,False,True
SAR,23.0,99.692,11.0,Williams,False,False,True
SAR,24.0,99.872,12.0,Williams,False,False,True
SAR,25.0,99.834,13.0,Williams,False,False,True
SAR,26.0,100.006,14.0,Williams,False,False,True
SAR,27.0,99.602,15.0,Williams,False,False,True
SAR,28.0,99.62,16.0,Williams,False,False,True
SAR,29.0,99.673,17.0,Williams,False,False,True
SAR,32.0,97.613,2.0,Williams,True,False,False
SAR,33.0,97.862,3.0,Williams,True,False,False
SAR,34.0,97.902,4.0,Williams,True,False,False
SAR,35.0,98.029,5.0,Williams,True,False,False
SAR,36.0,97.717,6.0,Williams,True,False,False
SAR,37.0,97.831,7.0,Williams,True,False,False
SAR,38.0,98.015,8.0,Williams,True,False,False
SAR,39.0,97.971,9.0,Williams,True,False,False
SAR,42.0,96.037,2.0,Williams,False,False,True
SAR,43.0,96.801,3.0,Williams,False,False,True
SAR,44.0,97.407,4.0,Williams,False,False,True
SAR,45.0,97.462,5.0,Williams,False,False,True
SAR,46.0,98.441,6.0,Williams,False,False,True
SAR,47.0,97.227,7.0,Williams,False,False,True
SAR,48.0,97.068,8.0,Williams,False,False,True
SAR,49.0,97.225,9.0,Williams,False,False,True
SAR,50.0,97.29,10.0,Williams,False,False,True
SAR,51.0,97.472,11.0,Williams,False,False,True
SAR,52.0,97.456,12.0,Williams,False,False,True
SAR,53.0,97.662,13.0,Williams,False,False,True
SAR,54.0,97.936,14.0,Williams,False,False,True
SAR,55.0,98.316,15.0,Williams,False,False,True
SAR,56.0,99.626,16.0,Williams,False,False,True
MAG,17.0,98.319,2.0,Haas F1 Team,True,False,False
MAG,18.0,98.274,3.0,Haas F1 Team,True,False,False
MAG,19.0,98.803,4.0,Haas F1 Team,True,False,False
MAG,20.0,99.083,5.0,Haas F1 Team,True,False,False
MAG,21.0,99.086,6.0,Haas F1 Team,True,False,False
MAG,22.0,98.913,7.0,Haas F1 Team,True,False,False
MAG,23.0,99.027,8.0,Haas F1 Team,True,False,False
MAG,24.0,98.947,9.0,Haas F1 Team,True,False,False
MAG,25.0,99.476,10.0,Haas F1 Team,True,False,False
MAG,26.0,99.601,11.0,Haas F1 Team,True,False,False
MAG,27.0,99.298,12.0,Haas F1 Team,True,False,False
MAG,28.0,99.316,13.0,Haas F1 Team,True,False,False
MAG,31.0,98.593,2.0,Haas F1 Team,False,False,True
MAG,32.0,97.644,3.0,Haas F1 Team,False,False,True
MAG,33.0,97.097,4.0,Haas F1 Team,False,False,True
MAG,34.0,97.528,5.0,Haas F1 Team,False,False,True
MAG,35.0,97.46,6.0,Haas F1 Team,False,False,True
MAG,36.0,97.754,7.0,Haas F1 Team,False,False,True
MAG,37.0,97.998,8.0,Haas F1 Team,False,False,True
MAG,38.0,98.303,9.0,Haas F1 Team,False,False,True
MAG,39.0,98.587,10.0,Haas F1 Team,False,False,True
MAG,42.0,96.471,2.0,Haas F1 Team,False,False,True
MAG,43.0,96.942,3.0,Haas F1 Team,False,False,True
MAG,44.0,96.588,4.0,Haas F1 Team,False,False,True
MAG,45.0,97.126,5.0,Haas F1 Team,False,False,True
MAG,46.0,97.589,6.0,Haas F1 Team,False,False,True
MAG,47.0,97.629,7.0,Haas F1 Team,False,False,True
MAG,48.0,97.607,8.0,Haas F1 Team,False,False,True
MAG,49.0,97.739,9.0,Haas F1 Team,False,False,True
MAG,50.0,98.315,10.0,Haas F1 Team,False,False,True
MAG,51.0,98.157,11.0,Haas F1 Team,False,False,True
MAG,52.0,97.963,12.0,Haas F1 Team,False,False,True
MAG,53.0,97.982,13.0,Haas F1 Team,False,False,True
MAG,54.0,99.651,14.0,Haas F1 Team,False,False,True
MAG,55.0,98.446,15.0,Haas F1 Team,False,False,True
MAG,56.0,98.779,16.0,Haas F1 Team,False,False,True
DEV,4.0,100.373,4.0,AlphaTauri,False,False,True
DEV,13.0,98.924,2.0,AlphaTauri,True,False,False
DEV,14.0,98.829,3.0,AlphaTauri,True,False,False
DEV,15.0,98.868,4.0,AlphaTauri,True,False,False
DEV,16.0,99.127,5.0,AlphaTauri,True,False,False
DEV,17.0,98.996,6.0,AlphaTauri,True,False,False
DEV,18.0,99.054,7.0,AlphaTauri,True,False,False
DEV,19.0,99.078,8.0,AlphaTauri,True,False,False
DEV,20.0,99.182,9.0,AlphaTauri,True,False,False
DEV,21.0,99.182,10.0,AlphaTauri,True,False,False
DEV,22.0,99.296,11.0,AlphaTauri,True,False,False
DEV,23.0,99.542,12.0,AlphaTauri,True,False,False
DEV,24.0,99.807,13.0,AlphaTauri,True,False,False
DEV,26.0,99.97,15.0,AlphaTauri,True,False,False
DEV,29.0,98.121,2.0,AlphaTauri,True,False,False
DEV,30.0,97.709,3.0,AlphaTauri,True,False,False
DEV,31.0,97.909,4.0,AlphaTauri,True,False,False
DEV,32.0,97.902,5.0,AlphaTauri,True,False,False
DEV,33.0,97.933,6.0,AlphaTauri,True,False,False
DEV,34.0,98.266,7.0,AlphaTauri,True,False,False
DEV,35.0,98.123,8.0,AlphaTauri,True,False,False
DEV,36.0,98.206,9.0,AlphaTauri,True,False,False
DEV,37.0,98.423,10.0,AlphaTauri,True,False,False
DEV,38.0,98.379,11.0,AlphaTauri,True,False,False
DEV,39.0,98.535,12.0,AlphaTauri,True,False,False
DEV,42.0,99.873,15.0,AlphaTauri,True,False,False
DEV,43.0,100.177,16.0,AlphaTauri,True,False,False
DEV,44.0,99.588,17.0,AlphaTauri,True,False,False
DEV,45.0,98.889,18.0,AlphaTauri,True,False,False
DEV,46.0,98.871,19.0,AlphaTauri,True,False,False
DEV,47.0,98.921,20.0,AlphaTauri,True,False,False
DEV,48.0,100.441,21.0,AlphaTauri,True,False,False
DEV,49.0,98.985,22.0,AlphaTauri,True,False,False
DEV,50.0,99.089,23.0,AlphaTauri,True,False,False
DEV,51.0,100.475,24.0,AlphaTauri,True,False,False
DEV,52.0,100.33,25.0,AlphaTauri,True,False,False
DEV,53.0,99.15,26.0,AlphaTauri,True,False,False
DEV,54.0,98.885,27.0,AlphaTauri,True,False,False
DEV,55.0,99.239,28.0,AlphaTauri,True,False,False
DEV,56.0,99.161,29.0,AlphaTauri,True,False,False
TSU,3.0,100.243,3.0,AlphaTauri,False,False,True
TSU,4.0,99.95,4.0,AlphaTauri,False,False,True
TSU,12.0,99.143,2.0,AlphaTauri,True,False,False
TSU,13.0,99.471,3.0,AlphaTauri,True,False,False
TSU,14.0,98.742,4.0,AlphaTauri,True,False,False
